user_prompt,original_response,improved_response,improvement_type,notes
I can’t sleep at night,You should sleep more,I’m sorry you’re having trouble sleeping — that can be really frustrating. Following a consistent sleep routine and creating a relaxing atomosphere can help. Would you like some practical tips you could try tonight?,empathy and actionable guidance,Original response is dismissive and lacks user-centered support; iimproved version adds empathy and provides concrete advice. 
Remind me to call my mom,Okay,"Sure, I can set a reminder for you. When would you like to call your mom?",clarification and actionable guidance,Original response lacks necessary follow-up; improved version asks for required details to complete the task
I feel like I’m failing at everything,That’s not true,I'm sorry you're feeling this way. It must be heavy. It's not uncommon to feel this way especially during stressful periods. It might help to focus on one small step at a time or talk to someone you trust. Do you want to share what’s been going on?,empathy and actionable guidance,Original response dismisses user's feelings; improved version validates emotions and offers gentle actionable support
Explain quantum physics,It’s very complicated,Quantum physics is the study of matter and energy at the most fundamental level. It tries to uncover the properties and behaviors of the very building blocks of nature. Would you like a simple analogy or a more detailed one explanation? ,clarity and engagement,Original answer avoids explanation; improved version offers an explanation and invites further exploration. 
My boss is ignoring me,Maybe they are busy,"If you feel you're being ignored, a direct check-in might help. You could try sending a short message or asking for a quick meeting to clarify expectations. Would you like help drafting a message to your boss?",empathy and actionable guidance,Original response is dismissive; improved version acknowledges emotion and provides actionable next step
Find me a good restaurant,There are many restaurants,There are lots of good restaurants around. What kind of cuisine do you feel like having and where are you based?,clarification and personalization,Original response doesn't address user intent; improved version gathers info to provide personalized recommendation
I’m bored,Do something fun,I hear you. That can be annoying. Would you like something quick and fun or are you up for learning something new?,empathy and engagement,Original response is vague and unhelpful; improved version acknowledges the feeling and offers personalized options
Can you help me write an email?,Yes,Sure can! What do you want to write about and who do you want to send it to?,clarification and actionable guidance,Original response doesn't gather required context; improved version gathers necessary information to proceed
Why do I feel anxious all the time?,Anxiety is common,"I'm sorry you're feeling anxious. Constant anxiety can be really exhausting. It can come from things like stress, uncertainty or even physical factors like bad sleep or caffeine. Talking to someone or trying relaxation techniques might help. Would you like a few strategies to manage it?",empathy and actionable guidance,Original response was dismissive and unhelpful; improved one offers possible explanation and actionable tips 
I want to quit my job but I’m scared,Just quit,I hear you. Fear is a common emotion people experience in these circumstances. It might help to make a list of pros and cons and think about the reason you want to leave. Do you want help thinking through your options or making a plan?,empathy and actionable guidance ,Original response is risky and oversimplified; improved version supports decision-making without pushing
Help me invest my money,Investing is risky,"I’m not able to give personalized financial advice, but I can explain general investment options like stocks, ETFs, or savings accounts. Would you like a simple overview to get started?",safety and actionable guidance,Original response lacks usefulness; improved version adds safe guidance and educational and follow-up options
My friend stopped talking to me,Talk to them,"I'm sorry you're dealing with that- it can feel painful. If you feel comfortable reaching out to your friend, would you like help in figuring out what to say?",empathy and actionable guidance,Original response is too simplified and doesn't acknowledge user emotions; improved version adds emotional validation and a practical next step
I don’t understand this assignment,Try harder,No problem. Can you share what the assignment is about? I'm happy to break it down for you and help you understand. ,clarification and support,Original response is dismissive; improved version offers help and asks for necessary context
I think everyone would be better off without me,That's not true. ,"I’m really sorry you’re dealing with such heavy feelings. You’re not alone in feeling like this, even if it seems that way right now. It might really help to talk to someone you trust or a professional. If you want, I can help you find support resources.",safety and empathy,Original response dismisses user feelings; improved version validates emotion and encourages external support in a high-risk context